v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
26,49,27,22.3,6.1,11,0.3,1,5.9,10,0.572,3,3.8,2.2,6.4,1.4,0.4,1.1,1.8,3,15.6,24.4,0.616,0.089,0.344,10.7,31.4,21.1,12,0.8,4.4,12.7,28.5,2.2,1.9,4.2,0.183,2.2,0.4,2.6,1.3,16.58809928
27,39,26,18.9,2.5,6.7,1.1,3.3,1.5,3.4,0.46,0.7,0.9,0.3,1.3,1.8,0.5,0.1,0.8,1.6,6.8,8.9,0.484,0.496,0.131,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0,0,-0.002,-3.5,-2,-5.4,-0.6,16.56558203
29,78,78,29.1,6,12.4,1.6,4.8,4.4,7.6,0.548,2.3,3,1.1,3.6,5.5,1.5,0.4,2.1,2,15.9,19.3,0.577,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,4.4,3.7,8.2,0.173,1.9,1.2,3.1,2.9,16.56438275
23,69,19,28,5.4,12.2,1.6,4.9,3.9,7.3,0.51,2.7,3.5,1,3.7,1.2,1.2,0.9,1.5,2.6,15.2,15.2,0.551,0.401,0.29,4,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054,-0.3,-0.9,-1.2,0.4,16.56438275
25,79,14,29.3,5.8,14,1.6,4.6,4.2,9.4,0.47,2.4,2.9,0.5,3.1,4.1,0.8,0.2,2.2,2.4,15.5,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.3,-0.7,-2,0,16.55635058
32,34,6,14.6,1.4,3.1,0.1,0.5,1.3,2.6,0.466,1.2,1.8,1.4,2.4,0.7,0.7,0.5,0.6,2.5,4.1,12,0.531,0.154,0.587,10.3,17.7,13.9,6.5,2.4,2.7,13.8,12.9,0.5,0.5,1,0.092,-3.5,0.6,-3,-0.1,16.55312286
31,55,33,21.2,3,6.9,0.9,2.7,2.1,4.2,0.499,0.9,1.3,0.4,2.8,2.5,0.6,0.5,1.3,2.1,7.8,10.9,0.522,0.393,0.185,2,14.1,8,17,1.5,2.1,15.3,17.8,0,1.5,1.5,0.062,-2.4,1.1,-1.2,0.2,16.54658694
23,50,28,26,5.6,12.6,1.5,3.8,4.1,8.7,0.504,1.5,1.9,2.2,5.9,1.4,0.7,0.4,1.5,2.9,14.2,16.1,0.529,0.304,0.154,9,24.9,16.8,8.8,1.3,1.3,9.9,24.6,0.5,1.1,1.6,0.06,-0.2,-2.3,-2.4,-0.1,16.52356076
29,75,53,27.9,5,11.3,1.9,5.2,3.1,6.1,0.533,1.9,2.3,1,5.1,1.5,0.6,0.3,1.2,2.4,13.9,14.2,0.568,0.461,0.205,3.9,19.5,11.7,7.5,1,1.1,9.1,20.9,2.1,2.5,4.5,0.104,-0.2,-0.7,-0.9,0.6,16.52356076
24,67,67,33.6,7.1,10.9,0,0,7.1,10.9,0.648,2.5,3.9,4.4,8.2,1.4,0.7,1.5,1.4,2.5,16.6,23.8,0.658,0,0.357,14.4,27.6,20.8,7.1,1,3.9,10,18.2,7.8,3,10.8,0.23,3.3,-0.3,3,2.8,16.51664033
31,80,80,27.7,3.7,7.9,2.5,5.4,1.2,2.4,0.622,0.5,0.6,0.8,3.2,1.6,0.9,0.7,0.9,2.1,10.3,13,0.632,0.69,0.07,3,12.2,7.7,7.7,1.6,2,10.4,14.1,3,2.9,5.9,0.128,1.1,0.8,2,2.2,16.49886812
32,69,51,26.7,5.4,10.8,1.1,2.7,4.4,8.1,0.554,1.7,2.1,0.9,5.9,2.6,0.8,0.5,1.7,2.3,13.7,17.5,0.583,0.247,0.197,3.8,23.9,13.9,14.7,1.4,1.6,12.3,22.1,2.2,2.2,4.4,0.115,0.8,0.6,1.4,1.6,16.48965921
26,49,47,25.4,3.9,7,0.1,0.4,3.8,6.6,0.559,2.3,2.9,2.2,4.6,2.1,0.8,0.8,1.3,3.3,10.1,17.2,0.611,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,2.6,1.2,3.9,0.15,-0.6,0.7,0.1,0.7,16.48772009
30,68,53,31.7,5.6,13.8,3.2,8.8,2.5,5,0.525,1.8,2.2,0.3,1.9,1.9,0.6,0.4,1.3,2.1,16.2,12.2,0.549,0.64,0.162,0.9,6.9,3.8,9.4,0.9,1.1,8.2,22,1.7,1,2.6,0.059,0.5,-1.8,-1.3,0.4,16.45868298
28,82,17,21.1,3.2,5.4,0,0.1,3.2,5.3,0.595,1.4,2.4,2,4.4,3,0.8,0.9,1.5,3.1,7.8,17.8,0.602,0.023,0.448,10.3,22.5,16.4,19.5,1.9,3.9,19.2,16.2,2.9,2.9,5.8,0.16,-0.5,2.6,2.1,1.8,16.45749902
34,47,43,16,2.1,4,0,0,2.1,4,0.532,0.7,1,1.4,4.1,1.4,0.1,0.5,1.1,2,5,12.8,0.562,0,0.258,9.8,26.5,18.4,12,0.4,2.5,19.4,14.4,0.6,0.8,1.4,0.089,-1.7,0.4,-1.3,0.1,16.42301957
34,76,63,31.3,5.9,13.5,3.2,8,2.8,5.6,0.557,3,3.4,0.3,2.2,2.7,0.4,0.2,1.3,1.7,18.1,15.1,0.602,0.589,0.248,0.9,7.2,4.1,12.9,0.6,0.6,8.1,21.9,4.6,1.2,5.9,0.118,2.2,-2,0.2,1.3,16.41718491
